w_hedge, r_hedge, skewness, kurtosis, sharpe
-0.000287, -0.048877, 1.845164, 2.348474, 6.931313
-0.000256, 0.024639, 1.791947, 2.194179, 7.129433
-0.000209, -0.040065, 1.647078, 1.555122, 7.266780
-0.000221, 0.029217, 1.618615, 1.496830, 7.452893
-0.000191, -0.055954, 1.526949, 1.212145, 7.657365
-0.000198, -0.020271, 1.531486, 1.229257, 7.728521
-0.000185, -0.062111, 1.532260, 1.235812, 7.764033
-0.000184, 0.014260, 1.530610, 1.236004, 7.785724
-0.000172, 0.021651, 1.528206, 1.224298, 7.732033
-0.000170, -0.091157, 1.527733, 1.221450, 7.718280
-0.000171, -0.078583, 1.528302, 1.223517, 7.726167
-0.000155, 0.085264, 1.536231, 1.246743, 7.808453
-0.000132, -0.030297, 1.530133, 1.248897, 7.916171
-0.000213, -0.032822, 1.413457, 0.778917, 7.981364
-0.000196, -0.026307, 1.355120, 0.649647, 8.170612
-0.000181, -0.079825, 1.303684, 0.547406, 8.324535
-0.000174, -0.091361, 1.251892, 0.448468, 8.481788
-0.000096, 0.038707, 1.223327, 0.355588, 8.417148
-0.000068, 0.028309, 1.209985, 0.350286, 8.530135
-0.000076, 0.014477, 1.205967, 0.361585, 8.651231
-0.000077, -0.038031, 1.195955, 0.361971, 8.753866
-0.000084, 0.012821, 1.174420, 0.339410, 8.852673
-0.000071, 0.025154, 1.156802, 0.334104, 9.036332
-0.000074, -0.030830, 1.154870, 0.353501, 9.184621
-0.000080, -0.022273, 1.156714, 0.369943, 9.268831
-0.000068, -0.060849, 1.138682, 0.366423, 9.454259
-0.000056, -0.102247, 1.121903, 0.367089, 9.647233
-0.000033, 0.026239, 1.103682, 0.366709, 9.835135
-0.000000, -0.084379, 1.094111, 0.383215, 10.031391
-0.000013, 0.057982, 1.086777, 0.404635, 10.230121
-0.000075, 0.046194, -0.622013, 4.765315, 8.022936
-0.000093, -0.048241, -0.658545, 4.922515, 8.145883
-0.000072, -0.015256, -0.643974, 4.051190, 7.430585
-0.000063, -0.021108, -0.635666, 4.024778, 7.405744
-0.000070, 0.013751, -0.858121, 3.417228, 6.502643
-0.000078, 0.086516, -0.960027, 2.807338, 5.791951
-0.000068, 0.063400, -0.997694, 2.251118, 5.209690
-0.000025, 0.012710, -1.008479, 1.764065, 4.684175
-0.000036, 0.010913, -1.027002, 1.805311, 4.730621
-0.000034, 0.035223, -1.000602, 1.694098, 4.652055
-0.000029, 0.020461, -0.964211, 1.273289, 4.277625
-0.000040, 0.045328, -0.983977, 1.317693, 4.327188
-0.000040, 0.024572, -0.979333, 1.311215, 4.315280
-0.000017, 0.050357, -0.936226, 0.936958, 3.964363
0.000010, 0.019394, -0.873254, 0.838943, 3.729919
0.000025, 0.024819, -0.815354, 0.631811, 3.541064
0.000029, -0.009427, -0.783578, 0.544544, 3.453214
0.000030, -0.024550, -0.722639, 0.366649, 3.261273
0.000038, 0.001898, -0.670415, 0.280566, 3.116806
0.000039, 0.015094, -0.602339, 0.047166, 2.780364
0.000019, -0.026309, -0.596630, 0.039762, 2.504816
0.000046, 0.004653, -0.549019, 0.010496, 2.239512
0.000029, 0.027137, -0.551309, -0.085465, 1.730982
0.000032, 0.008805, -0.515634, -0.160092, 1.381694
0.000039, 0.055906, -0.452184, -0.256626, 1.053327
0.000085, 0.007963, -0.645785, -0.150762, 0.421128
0.000126, 0.009266, -0.728869, -0.020872, 0.020459
0.000133, 0.022249, -0.750251, -0.076015, -0.335837
0.000115, -0.004015, -0.429176, 0.200391, -0.086574
0.000123, -0.040378, -0.362999, 0.149072, -0.319070
0.000137, -0.002533, -0.067981, 0.395377, -0.034401
0.000103, 0.021643, -0.250073, 0.553333, -0.469287
0.000101, 0.061658, -0.355160, 0.600520, -0.940172
0.000093, -0.007198, -0.065692, 0.731706, -0.604847
0.000057, 0.026899, 0.186325, 0.840938, -0.312955
0.000059, -0.006009, -0.001599, 0.803844, -0.661035
0.000045, 0.056002, 0.174194, 0.738481, -0.319075
0.000049, -0.000994, 0.305800, 0.633305, -0.002530
0.000024, 0.051688, 0.414811, 0.534817, 0.318534
0.000027, 0.011138, 0.182175, 0.589631, -0.045927
0.000009, 0.023647, 0.275845, 0.452212, 0.255226
0.000006, 0.026521, 0.344150, 0.306559, 0.535947
0.000002, -0.027278, 0.329741, 0.283551, 0.572038
0.000009, -0.000769, 0.325013, 0.261937, 0.588846
0.000009, -0.006118, 0.329570, 0.269261, 0.577470
0.000008, 0.037971, 0.338186, 0.280936, 0.556069
0.000007, 0.009247, 0.351635, 0.297284, 0.522584
-0.000001, 0.032838, 0.388018, 0.390655, 0.421560
-0.000004, 0.025794, 0.395454, 0.398771, 0.403105
-0.000004, 0.022070, 0.400592, 0.404176, 0.390344
-0.000003, 0.021472, 0.407887, 0.412008, 0.372230
-0.000003, -0.019981, 0.418998, 0.425119, 0.344716
-0.000004, 0.027571, 0.430050, 0.438900, 0.317431
-0.000004, 0.040628, 0.439114, 0.448433, 0.294885
-0.000003, 0.035647, 0.445459, 0.454448, 0.279011
-0.000005, -0.003561, 0.458810, 0.471318, 0.246062
-0.000006, -0.036457, 0.472347, 0.488929, 0.212723
-0.000009, 0.006150, 0.486028, 0.507438, 0.179120
-0.000012, 0.057065, 0.498456, 0.524162, 0.148633
-0.000011, 0.003571, 0.511561, 0.541706, 0.116479
-0.000001, -0.027820, 0.488341, 0.603049, 0.243862
0.000001, -0.008401, 0.500261, 0.618303, 0.214557
-0.000001, -0.062796, 0.482517, 0.624512, 0.269082
-0.000002, -0.028750, 0.488927, 0.630889, 0.253066
0.000001, 0.021536, 0.465441, 0.668899, 0.349177
0.000003, 0.036326, 0.442743, 0.710202, 0.443651
0.000002, 0.005346, 0.420143, 0.754060, 0.537941
-0.000006, -0.079717, 0.397632, 0.805253, 0.636331
-0.000004, -0.028192, 0.407798, 0.812750, 0.610469
-0.000004, -0.009671, 0.401818, 0.813246, 0.627155
-0.000004, -0.111021, 0.380474, 0.852550, 0.710270
-0.000003, -0.187058, 0.389125, 0.857883, 0.688087
-0.000002, -0.133499, 0.398109, 0.863539, 0.665054
-0.000006, 0.110390, 0.377874, 0.905259, 0.746249
-0.000006, -0.097989, 0.370078, 0.908723, 0.768948
-0.000008, -0.135838, 0.357480, 0.921114, 0.808971
-0.000009, 0.149292, 0.351719, 0.923575, 0.825567
-0.000010, 0.100140, 0.339153, 0.935936, 0.865139
-0.000010, 0.115462, 0.333351, 0.938818, 0.881912
-0.000008, -0.019607, 0.313801, 0.982233, 0.958593
-0.000008, 0.096525, 0.304229, 0.990710, 0.987663
-0.000009, 0.003398, 0.293270, 1.002526, 1.021839
-0.000006, 0.035250, 0.273145, 1.097458, 1.138986
-0.000007, 0.007436, 0.255257, 1.136123, 1.204786
-0.000009, 0.059237, 0.236834, 1.185024, 1.277390
-0.000011, -0.001702, 0.229163, 1.366786, 1.449966
-0.000024, -0.032726, 0.236476, 1.600938, 1.653455
-0.000029, 0.012199, 0.249040, 1.862040, 1.866013
-0.000032, 0.066018, 0.300278, 2.105766, 1.695777
-0.000035, -0.005734, 0.284296, 2.182730, 1.774490
-0.000043, -0.106458, 0.331409, 2.517732, 1.586932
-0.000040, -0.029581, 0.441767, 2.987240, 1.900583
-0.000051, 0.113194, 0.601520, 3.535827, 2.247724
-0.000054, -0.032980, 0.651718, 4.211552, 2.032965
-0.000042, 0.067682, 0.677716, 5.143454, 1.794578
-0.000054, 0.033839, 1.176494, 6.211739, 2.293358
-0.000054, -0.002945, 1.224276, 7.934207, 2.044490
-0.000079, 0.059790, 1.205328, 10.479799, 1.772052
-0.000056, 0.033699, 0.942486, 14.649186, 1.453580
-0.000101, 0.010070, 4.558190, 20.114183, 2.506025
-0.000057, 0.003445, 5.992916, 37.823049, 2.402619
-0.000257, 0.040458, 4.621863, 23.690045, 3.559039
-0.000227, -0.035597, 5.595246, 34.683005, 3.401339
-0.000197, 0.007780, 2.768346, 9.512959, 5.506641
-0.000718, -0.033638, 1.888808, 3.896102, 6.251680
-0.000976, -0.069387, 1.365173, 0.803112, 6.653351
-0.001157, -0.105093, 1.436744, 1.137524, 6.547336
-0.000973, 0.090764, 1.485295, 1.435767, 6.445562
-0.000963, 0.009056, 1.539307, 1.781959, 6.435908
-0.000999, 0.000651, 1.389306, 1.155490, 6.718302
-0.000836, 0.059963, 1.325606, 0.939676, 6.902529
-0.000661, 0.039078, 1.350580, 1.165178, 7.001607
-0.000595, 0.018254, 1.126404, 0.044262, 7.318975
-0.001000, -0.019343, 1.206410, 0.334961, 7.292519
-0.000744, -0.107494, 1.300542, 0.690050, 7.171131
-0.000153, 0.077905, 1.380336, 1.076577, 7.201905
0.000722, 0.008397, 1.465069, 1.531551, 7.234354
0.000529, 0.029910, 1.501772, 1.862098, 7.354277
-0.000291, 0.031905, 1.394884, 1.549936, 7.672247
-0.000345, -0.003669, 1.466509, 2.099912, 7.782327
0.000700, 0.004342, 1.518993, 2.728286, 7.961750
0.000988, 0.021429, 1.191361, 1.573398, 8.553803
0.000396, 0.060126, 1.220555, 2.081221, 8.724840
0.000024, -0.008189, 0.661489, -0.219701, 9.472745
-0.002198, 0.018048, 0.549432, -0.473841, 9.733764
-0.002542, 0.024684, 0.570786, -0.455591, 9.678541
-0.002450, 0.003799, 0.559632, -0.354895, 9.803436
-0.002165, -0.021231, 0.510127, -0.350292, 9.961938
-0.002227, 0.052301, 0.521007, -0.259054, 9.998139
-0.003641, -0.033344, 0.534265, -0.137033, 10.047358
-0.005473, 0.042297, 0.474263, -0.119170, 10.229013
-0.005485, 0.013398, 0.432276, -0.057977, 10.376984
-0.008429, 0.007876, 0.450135, 0.055679, 10.402238
-0.009473, 0.015377, 0.433323, -0.093804, 10.396981
-0.010874, -0.070188, 0.436937, -0.092235, 10.386956
-0.011305, 0.052233, 0.479153, 0.000041, 10.885999
-0.010636, 0.015782, 0.434221, 0.023785, 11.176994
-0.011656, 0.003504, 0.435081, -0.028199, 11.020794
-0.011252, 0.012541, 0.435139, -0.027816, 11.021934
-0.010653, 0.016247, 0.436991, -0.087219, 10.833740
