w_hedge, r_hedge, skewness, kurtosis, sharpe
-0.025963, 0.065228, 0.789656, -0.439472, 5.471700
-0.026476, -0.046081, 0.815492, -0.403812, 5.732776
-0.029560, -0.029014, 0.868196, -0.372247, 6.037584
-0.029877, 0.029923, 0.925699, -0.341990, 6.339555
-0.029731, -0.032443, 0.977574, -0.309886, 6.607819
-0.030304, 0.028345, 1.005838, -0.278484, 6.814082
-0.030595, -0.057341, 1.043337, -0.246526, 7.055296
-0.030949, -0.020967, 1.063030, -0.219341, 7.235440
-0.030084, -0.065568, 1.080092, -0.193858, 7.400210
-0.029611, 0.011984, 1.098320, -0.168065, 7.564953
-0.028199, 0.023154, 1.105787, -0.149044, 7.709867
-0.028370, -0.089275, 1.111797, -0.132771, 7.821992
-0.028385, -0.075194, 1.112222, -0.132337, 7.824182
-0.028104, 0.100789, 1.114331, -0.130071, 7.835561
-0.027689, -0.020376, 1.109740, -0.137280, 7.798043
-0.026729, -0.019365, 1.086625, -0.164791, 7.637079
-0.027127, -0.014284, 1.036065, -0.199692, 7.374476
-0.027455, -0.056691, 0.987575, -0.235755, 7.112994
-0.028837, -0.079546, 0.969919, -0.263225, 6.855546
-0.029531, 0.046029, 0.982681, -0.247223, 6.564894
-0.030511, 0.034056, 0.955900, -0.215378, 6.161363
-0.030338, 0.020994, 1.008245, -0.038197, 5.810957
-0.025692, -0.032951, 1.057840, 0.181255, 5.538974
-0.030251, 0.017813, 1.103297, 0.414792, 5.271674
-0.032434, 0.031064, 1.160934, 0.699452, 5.035864
-0.034194, -0.020652, 1.216483, 1.021467, 4.801332
-0.040291, -0.007948, 1.277445, 1.418549, 4.506999
-0.041200, -0.045832, 1.203792, 1.540657, 4.162136
-0.034270, -0.088518, 0.939843, 1.132895, 3.750016
-0.032900, 0.039952, 0.762888, 1.155448, 3.252663
-0.038814, -0.070417, 0.539277, 1.172169, 2.692363
-0.060213, 0.082619, 0.059545, 0.560644, 2.068859
-0.065698, 0.075612, -0.250084, 0.231766, 1.461847
-0.068404, -0.011120, -0.503341, 0.065674, 0.831732
-0.051791, 0.006333, -0.848911, 0.090777, 0.133408
-0.057644, 0.006739, -1.004287, 0.148109, -0.472545
-0.054320, 0.040277, -0.998343, 0.096397, -0.888175
-0.049477, 0.111798, -0.999363, 0.066752, -1.307057
-0.040254, 0.090073, -0.981509, -0.016763, -1.685933
-0.019893, 0.025258, -0.974154, -0.058787, -2.058615
