w_hedge, r_hedge, skewness, kurtosis, sharpe
0.006815, 0.008929, 0.431342, -1.471039, -9.487561
0.007819, 0.057505, 0.503034, -1.393569, -9.806657
0.008089, 0.016380, 0.575919, -1.300024, -10.143869
0.010188, -0.015529, 0.639665, -1.193123, -10.645328
0.010735, 0.025316, 0.707291, -1.063370, -11.049524
0.010361, -0.028372, 0.771488, -0.924435, -11.420032
0.011015, -0.020491, 0.833848, -0.774716, -11.785653
0.010374, 0.020607, 0.892974, -0.605827, -12.219495
0.009877, -0.001985, 0.943665, -0.431335, -12.688625
0.010164, 0.036898, 0.981755, -0.259726, -13.303364
0.010325, 0.012603, 0.998810, -0.123817, -13.942852
0.010710, 0.011995, 1.001982, -0.015915, -14.571207
0.011011, -0.021614, 0.978945, 0.008675, -15.166237
0.010849, 0.043388, 0.940875, -0.020854, -15.749981
0.010633, 0.012393, 0.881439, -0.139706, -16.325949
0.010338, 0.044962, 0.780877, -0.442686, -16.957851
0.010470, 0.003580, 0.686284, -0.752194, -17.481087
0.010371, 0.023789, 0.717444, -0.669473, -17.250345
0.010648, 0.027009, 0.753066, -0.574178, -16.989349
0.010944, -0.026246, 0.815904, -0.411510, -16.497857
0.009800, 0.000386, 0.887068, -0.263291, -15.727929
0.010291, -0.004735, 0.925827, -0.236438, -14.963671
0.010694, 0.038756, 0.952723, -0.244012, -14.111604
0.011067, 0.009982, 0.958481, -0.308635, -13.335036
0.011854, 0.033441, 0.938099, -0.434851, -12.789779
0.014130, 0.026191, 0.878834, -0.625729, -12.189765
0.013077, 0.022255, 0.813286, -0.803958, -11.673102
0.012315, 0.021240, 0.741815, -0.965364, -11.216887
0.011941, -0.020199, 0.666989, -1.106338, -10.796566
0.013372, 0.027161, 0.596052, -1.224233, -10.443022
0.013066, 0.040047, 0.527455, -1.326911, -10.106045
0.012415, 0.034947, 0.459123, -1.412974, -9.795475
0.013813, -0.004899, 0.393422, -1.484695, -9.512819
0.014938, -0.037820, 0.329957, -1.543824, -9.252981
0.017515, 0.004059, 0.268487, -1.584849, -9.034472
0.021357, 0.053774, 0.210436, -1.621123, -8.823706
0.020759, -0.000824, 0.152434, -1.642790, -8.635615
0.025252, -0.032762, 0.099379, -1.653564, -8.478499
0.023301, -0.013251, 0.050888, -1.647506, -8.357101
0.021392, -0.071963, -0.003075, -1.630008, -8.224361
0.024482, -0.039817, -0.055488, -1.602749, -8.102900
0.023948, 0.009897, -0.074319, -1.572007, -8.077399
0.024687, 0.024241, -0.089680, -1.544433, -8.058053
0.025508, -0.008215, -0.100392, -1.520454, -8.046687
0.022913, -0.092015, -0.110273, -1.494757, -8.037500
0.019700, -0.038371, -0.115218, -1.475909, -8.035176
0.015432, -0.017181, -0.117763, -1.456260, -8.037340
0.013848, -0.113177, -0.122610, -1.433269, -8.036372
0.011399, -0.192878, -0.127836, -1.403455, -8.036493
0.008770, -0.135987, -0.179194, -1.355970, -7.909383
-0.003605, 0.113229, -0.176149, -1.332187, -7.922152
-0.009533, -0.091168, -0.204636, -1.271674, -7.877050
-0.004332, -0.133249, -0.214839, -1.255221, -7.864817
-0.013219, 0.153622, -0.206802, -1.264913, -7.875425
-0.024070, 0.109664, -0.192981, -1.265532, -7.898569
-0.019045, 0.123858, -0.203635, -1.213826, -7.887342
-0.013337, -0.013238, -0.195243, -1.179960, -7.907711
