f UK w_hedge, f UK r_hedge, f CAN w_hedge, f CAN r_hedge, f EU w_hedge, f EU r_hedge, f swi w_hedge, f swi r_hedge
0.037128, -0.075181, -0.007446, -0.070931, -0.007328, -0.072444, -0.006914, -0.089458
0.041636, 0.044789, -0.010533, 0.049406, -0.009427, 0.049104, -0.007439, 0.038870
0.037718, -0.059967, -0.008218, -0.056327, -0.007293, -0.056723, -0.005678, -0.066472
0.044341, 0.009637, -0.010549, 0.014029, -0.008764, 0.011513, -0.006200, -0.008663
0.046247, 0.000461, -0.006546, 0.011410, -0.006186, 0.008243, -0.005171, -0.008438
0.047512, 0.015691, -0.008352, 0.026552, -0.007487, 0.023451, -0.005123, -0.006029
0.049711, 0.055452, -0.009272, 0.066358, -0.008220, 0.062900, -0.004983, 0.056007
0.054167, 0.029909, -0.010192, 0.040665, -0.009315, 0.036948, -0.004857, 0.027652
0.058890, -0.004408, -0.012614, 0.007807, -0.012477, 0.002169, -0.005424, -0.002847
0.056302, -0.027159, -0.015974, -0.015181, -0.015862, -0.022070, -0.005816, -0.022576
0.052622, 0.011709, -0.018040, 0.022062, -0.017685, 0.011596, -0.005850, 0.010968
0.050285, -0.015157, -0.018673, -0.000747, -0.017951, -0.013395, -0.005738, -0.017560
0.057208, -0.149255, -0.018828, -0.132993, -0.018439, -0.143666, -0.005820, -0.153739
0.056585, 0.003022, -0.019829, 0.017680, -0.018918, 0.008060, -0.005675, -0.003802
0.033956, 0.084247, -0.022004, 0.088026, -0.016102, 0.082219, -0.003909, 0.080929
0.042638, 0.051452, -0.021608, 0.059418, -0.016090, 0.026805, -0.003928, 0.046571
0.048045, 0.040940, -0.023207, 0.049303, -0.019294, 0.038131, -0.004578, 0.033646
0.069982, 0.013993, -0.022476, 0.022451, -0.020144, 0.010730, -0.004985, 0.007609
0.068847, -0.031336, -0.023282, -0.027006, -0.022413, -0.041121, -0.005341, -0.044952
0.061241, 0.037199, -0.023510, 0.041150, -0.024119, 0.020005, -0.005432, 0.018826
0.065973, 0.033464, -0.023217, 0.038790, -0.022838, 0.019175, -0.004993, 0.018735
0.076685, -0.035710, -0.021971, -0.038662, -0.023224, -0.058652, -0.005226, -0.055243
0.076790, 0.046312, -0.023376, 0.044372, -0.024167, 0.023220, -0.005412, 0.024035
0.077295, 0.003521, -0.023109, -0.006110, -0.021914, -0.026015, -0.004918, -0.030186
0.079214, -0.003022, -0.023726, -0.005482, -0.022863, -0.026832, -0.005176, -0.018852
0.078707, -0.010678, -0.023811, -0.012848, -0.021822, -0.027781, -0.004785, -0.024984
0.077200, 0.060553, -0.023650, 0.046475, -0.020798, 0.034811, -0.004642, 0.041227
0.080634, 0.029612, -0.023426, 0.024380, -0.020048, 0.011309, -0.004497, 0.015418
0.077262, 0.079700, -0.024488, 0.076815, -0.020918, 0.065076, -0.004668, 0.072709
0.077080, -0.059494, -0.024937, -0.061371, -0.021485, -0.072252, -0.004806, -0.065946
0.077839, 0.003626, -0.027038, -0.001475, -0.023043, -0.012208, -0.005060, -0.003861
0.077385, 0.071505, -0.025479, 0.065372, -0.021561, 0.056902, -0.004846, 0.064039
0.077101, -0.035196, -0.026109, -0.045642, -0.021250, -0.054285, -0.004819, -0.049349
0.072761, -0.018010, -0.028947, -0.029072, -0.021848, -0.035981, -0.004891, -0.030474
0.074006, 0.040216, -0.029155, 0.029353, -0.020578, 0.023939, -0.004689, 0.028990
0.075101, -0.021062, -0.028845, -0.032252, -0.020019, -0.036034, -0.004616, -0.032867
0.073843, 0.039205, -0.029479, 0.028403, -0.020422, 0.025115, -0.004689, 0.027726
0.071594, -0.046079, -0.029344, -0.057289, -0.019518, -0.059538, -0.004523, -0.057937
0.072235, -0.007106, -0.029730, -0.021704, -0.020232, -0.023745, -0.004669, -0.021637
0.073529, -0.052693, -0.028864, -0.064933, -0.019349, -0.067647, -0.004462, -0.064968
0.076713, 0.011515, -0.028390, 0.015915, -0.019420, 0.013383, -0.004486, 0.013634
0.078378, 0.019204, -0.027089, 0.022905, -0.018281, 0.021760, -0.004245, 0.021097
0.076908, -0.095563, -0.027074, -0.089404, -0.018008, -0.089669, -0.004173, -0.090715
0.076954, -0.087920, -0.027115, -0.073082, -0.017933, -0.072678, -0.004158, -0.075968
